,SOIL_DEPTH,SoilTypeName,SoilTypeID
0,DEEP-INTERMEDIATE,-,-
1,DEEP,-,-
2,INTERMEDIATE-SHALLOW,Shallow,1
3,SHALLOW,Shallow,1
4,INTERMEDIATE,-,-
