,LUCODE,N_Application
0,AC66,169
1,PG01,32
2,NA01,0
3,WO12,0
4,AC01,90
5,AC63,130
6,AC67,159
7,LG20,0
8,FA01,0
9,AC17,48
10,TC01,0
11,LG03,0
12,AC44,162
13,AC03,59
14,AC19,88
15,LG07,0
16,AC32,93
17,AC65,88
18,LG11,25
19,AC68,107
20,AC64,67
21,AC16,67
22,HE02,0
23,AC27,43
24,WA00,0
25,LG14,0
26,AC15,49
27,AC69,107
28,HEAT,0
29,AC20,49
30,AC34,63
31,AC00,0
32,AC58,49
33,SR01,85
34,AC30,107
35,AC18,80
